lemma	pos	def
ἀνα-	prefix	up to, upwards, up | (intensifier) thoroughly | indicating repetition or improvement: re-, again | back, backwards
ἀναΐσσω	verb	(chiefly poetic) to dart up; to spring up
ἀναίμων	adj	(Epic, of the gods) bloodless
ἀναίνομαι	verb	to spurn, reject
ἀναίρεσις	noun	a taking up or away an undertaking | destruction slaying, putting to death | destruction banishment | repeal, quashing | direct confutation of arguments
ἀναίσθητος	adj	insensate, unfeeling, indifferent | senseless, tactless, stupid, insensible | unfelt
ἀναίτιος	adj	not the cause of | guiltless | uncaused
ἀναβάλλω	verb	(transitive) to throw up | (transitive) to help someone mount | (middle voice) to prelude, to begin to play | (middle voice, transitive) to delay
ἀναβαίνω	verb	(transitive, intransitive) to go up, mount (transitive, intransitive) to board a ship, embark | (transitive, intransitive) to go up, mount (intransitive) to mount | (transitive, intransitive) to go up, mount (of rivers, intransitive) to rise | (transitive, intransitive) to go up, mount (intransitive) to shoot up (rise rapidly) | (transitive, intransitive) to go up, mount (Attic, intransitive, often with ἐπὶ τὸ βῆμα (epì tò bêma)) to mount the tribune, i.e. rise to speak | (transitive, intransitive) to go up, mount (of animals, transitive, intransitive) to mount (i.e. to mate) | (transitive, intransitive) to go up, mount (of age) | (transitive, intransitive) to go up, mount (intransitive) to ascend to higher knowledge | (transitive, intransitive) to go up, mount (transitive) to surpass | (of events) to turn out (intransitive, with καρδία (kardía)) to enter into one's heart | (of events) to turn out (intransitive) to come to, pass to | (intransitive) to go back
ἀναβαθμίς	noun	step, stair
ἀναβαπτισμός	noun	(Koine, Byzantine, Christianity) rebaptism
ἀναβλέπω	verb	(intransitive) to look up, especially as a mark of confidence (transitive) to look up at [with accusative or dative] | (intransitive) to look up, especially as a mark of confidence (with cognate accusative) to cast a look of | (intransitive) to see again, to recover one's sight
ἀναβλαστάνω	verb	(intransitive): (of plants) shoot up | (intransitive): (of monstrous births) (intransitive): shoot afresh | (intransitive): (of a city) (intransitive): (of misfortunes) spring up | (intransitive): — | (transitive) put forth
ἀναβοάω	verb	to shout aloud, utter a loud cry | to call on (a person, e.g. for help)
ἀναβολή	noun	ascent, way up
ἀναγαλλίς	noun	scarlet pimpernel (Anagallis arvensis) | poor man's weatherglass (Lysimachia foemina)
ἀναγγέλλω	verb	to carry back tidings of, report | (Koine) to announce, make known
ἀναγιγνώσκω	verb	(Epic, in the second aorist) (transitive) to know well, know certainly | (Epic, in the second aorist) (transitive) to know again, recognize | (Attic, of written characters, transitive) to know them again, to read | (Ionic, causative, mostly in aorist, transitive) to persuade or induce one to do something
ἀναγκάζω	verb	(transitive, control verb) to force [with accusative ‘someone’ and infinitive ‘to do something’]
ἀναγκαιότης	noun	blood relationship, compare Latin necessitūdō | a necessity
ἀναγκαῖον	noun	prison | (Byzantine) latrine, outhouse, toilet
ἀναγκαῖος	adj	necessary
ἀναγνωρίζω	verb	to recognize, admit
ἀναγράφω	verb	to engrave and set up (treaties, laws, etc.) | to inscribe, register | to register someone’s name | (mathematics, middle voice) to describe | to entitle | (Byzantine) to paint
ἀναγραφή	noun	inscribing, registering of properties or contracts | record, description | treatise, composition | (medicine) prescription, formula | register, public record
ἀναγωγή	noun	leading up, lifting up | (philosophy) lifting up of the soul to God
ἀναδέω	verb	to tie up | to crown
ἀναδίπλωσις	noun	convolution | repetition, duplication | (pathology) double infection | (linguistic morphology) reduplication
ἀναδιδάσκω	verb	to teach otherwise or better | (passive voice) to be better instructed, change one's mind | to show clear, expound, interpret
ἀναείρω	verb	to lift up, to carry off
ἀναιδής	adj	shameless | ruthless
ἀναιμία	noun	lack of blood
ἀναιμωτί	adv	without bloodshed
ἀναιρέω	verb	(active voice) (transitive) to take up (transitive) to take up and carry off, bear away | (active voice) (transitive) to take up (transitive) to take up bodies for burial | (active voice) (transitive) to take away, make away with, destroy, kill (of things, transitive) to abolish, annul, cancel | (active voice) (transitive) to take away, make away with, destroy, kill (transitive) to destroy (an argument), answer or confute it completely | (active voice) (transitive) to appoint, ordain (intransitive) to answer, give a response | (middle voice) (transitive) to take up for oneself, take up (transitive) to take up and carry off, snatch away | (middle voice) (transitive) to take up for oneself, take up (transitive) to take up dead bodies for burial | (middle voice) (transitive) to take up for oneself, take up (transitive) to take up in one's arms | (middle voice) (transitive) to take up for oneself, take up (transitive) to conceive in the womb | (middle voice) (transitive) to take up for oneself, take up (transitive) to take up money at interest | (middle voice) (transitive) to take upon oneself, undertake (transitive) to accept as one's own | (middle voice) (transitive) to take back to oneself, undo what one has done, cancel
ἀναισθήτως	adv	insensately, unfeelingly, indifferently | senselessly, tactlessly, stupidly, insensibly
ἀναισθησία	noun	a lack of sensation | without the aid of sense perception | mental obtuseness | stupor
ἀναισχυντέω	verb	(intransitive) to be shameless, behave impudently | (transitive) to treat shamelessly
ἀνακάμπτω	verb	to bend back | to return | to turn again
ἀνακαίνωσις	noun	renewal
ἀνακαίω	verb	to light up | to fire up (with anger)
ἀνακαινόω	verb	(passive voice) to be renewed | (middle voice) to renew
ἀνακαλέω	verb	to call back
ἀνακαλύπτω	verb	to uncover | (middle voice) to unveil (oneself)
ἀνακοσμέω	verb	to adorn anew, to restore | to bring into order again
ἀνακουφίζω	verb	to lift or raise up | (passive voice) to feel lightened or lifted up, be relieved in mind
ἀνακούφισις	noun	relief
ἀνακρίνω	verb	to examine closely, to question, interrogate | to inquire into | (middle voice) to dispute with | (Koine) to judge | (Byzantine) to revise
ἀνακρούω	verb	to push back, stop short, check | (middle voice) to put (a ship) astern | (middle voice, figurative) to put back | (music) to strike up
ἀνακρύπτω	verb	to put up, put away, hide
ἀνακτόριον	noun	gladiolus (Gladiolus italicus)
ἀνακόλουθος	adj	inconsistent | (grammar) irregular, anomalous
ἀνακύκλησις	noun	a coming round again, circuit, revolution | (poetic metre) recurrence of form, strophic arrangement
ἀνακύκλωσις	noun	Varia lectio of ᾰ̓νᾰκῠ́κλησῐς (ănăkŭ́klēsĭs). | wheeling about | (politics) cycle of constitutions, anacyclosis
ἀναλάζομαι	verb	to take again
ἀναλέγω	verb	to pick up, gather up
ἀναλέκτης	noun	a slave who picked up crumbs after a meal
ἀναλίσκω	verb	to spend | to kill, destroy
ἀναλαμβάνω	verb	(transitive) take up (physically, transitive) take in one's hands | (transitive) take up (figuratively, transitive) take up subjects in turn | (transitive) take back (transitive) regain, recover | (transitive) take back (transitive) restore, repair | (transitive) take back (transitive) resume
ἀναλγησία	noun	Want of feeling, insensibility.
ἀναλθής	adj	powerless to heal
ἀναλογία	noun	proportion (also mathematical) | (logic, linguistics) analogy
ἀναλογητικός	adj	proportional | (grammar, philosophy) of or pertaining to the school of thought of the philosopher Ammonius Saccas
ἀναλυτέος	adj	that must dissolve or be dissolved
ἀναλυτήρ	noun	deliverer
ἀναλυτικός	adj	analytical | dissolvent
ἀναλυτικῶς	adv	analytically, dissolvingly
ἀναλφάβητος	adj	illiterate, uneducated
ἀναλύτης	noun	deliverer, liberator, unlooser
ἀναλύω	verb	to cause to wander, unsettle | to unloose, undo, set free | to undo (in various senses) | to reduce | (grammar) to resolve | to do away with, cancel, cancel faults | to suspend | to solve the problem of a thing | to release from a spell | to relieve | (nautical) to loose from moorings, weigh anchor, depart, go away, | (figurative) to die
ἀναμένω	verb	to wait for, await, hold on | to put off, delay
ἀναμίξ	adv	promiscuously, pell-mell
ἀναμιμνήσκω	verb	(active voice) to remind | (passive voice) to remember
ἀναμονή	noun	patient abiding, endurance | waiting, delay
ἀναμφήριστος	adj	indisputable, undeniable
ἀνανδρία	noun	lack of manhood (also in the sense of male genitals) | unmanliness, cowardice
ἀνανταπόδοτος	adj	without apodosis, being a proposition lacking a consequent clause
ἀναξυρίδες	noun	trousers worn by Scythians and Sacae
ἀναπάλλω	verb	to draw back and brandish (a weapon) | (middle voice, passive voice) to be flung up, to leap up
ἀναπίμπλημι	verb	to fill up | to fill full [with genitive ‘of’] | to defile, infect
ἀναπίπτω	verb	to fall back, give ground | to flag, lose heart | to be given up | (Koine) to sit down (especially at table)
ἀναπαίω	verb	to strike back | to drive back
ἀναπαύω	verb	to cause to rest, to soothe, refresh
ἀναπείθω	verb	to bring over, convince | to persuade, move (to do something) | to seduce, mislead
ἀναπνέω	verb	to breathe (again), take a breath, draw breath | to recover [with genitive ‘from’] | to revive | to send forth
ἀναποδίζω	verb	(intransitive) to make a step backwards | (transitive) to call back and question, cross-examine | to retract what is said before | to return (of retrograde motion of the planets, of recurring events)
ἀναπολόγητος	adj	without excuse or defense, inexcusable, impardonable
ἀναπτύσσω	verb	to unfold, open (for reading, etc.) | to undo, open | to cut open | to ruminate, chew | to unfold, disclose
ἀναπόνιπτος	adj	unwashen, unwashed
ἀναρπάζω	verb	to snatch up | to snatch away, carry off, steal | to rescue | to take by storm, plunder
ἀναρρίπτω	verb	to throw upward | to run a risk | to set in motion, stir up
ἀναρρώννυμι	verb	to strengthen afresh | (passive voice) to regain strength, convalesce
ἀναρχία	noun	lack of a leader | lawlessness, anarchy
ἀνασκάπτω	verb	to dig up | to extirpate (of plants) | to raze to the ground (of buildings)
ἀνασκαφή	noun	a digging up, an excavation
ἀνασκευάζω	verb	to pack up (baggage) | to disfurnish, dismantle | to waste, ravage, destroy | to subvert | (passive voice) to be bankrupt, ruin
ἀνασκευαστικός	adj	(logic) destructive | restorative, curative
ἀνασπάω	verb	to pull down
ἀναστρέφω	verb	(transitive) to turn upside down, upset | (transitive) to turn back, bring back | (intransitive) to turn back, return, retire | (passive voice) to be or dwell in (a place) | (intransitive) to revolve (of the sun) | (military) to rally
ἀναστροφή	noun	turning back, return
ἀνασύνταξις	noun	reassessment of war-tax levied on property
ἀνατέλλω	verb	to raise up | to cause to grow | to give birth to | to bring to light | to rise (of the sun and moon) | to grow (of hair)
ἀνατέμνω	verb	to cut open
ἀνατίθημι	verb	lay upon, put upon (middle voice) put on board ship | (in prose) refer, attribute, ascribe, credit, compare (something to someone) entrust (something to someone) | set up as a votive gift, dedicate set up, erect; (figuratively) dedicate | set up as a votive gift, dedicate set up and leave in a place | put back, move back restore, put back anew | (middle voice) put upon for oneself (figuratively) impart, communicate (something) one’s own | (middle voice) put upon for oneself remit, refer | (middle voice) place differently, change around (e.g, the pieces on a draughtsboard) take back a move at pessoi | (middle voice) place differently, change around (e.g, the pieces on a draughtsboard) (by extension, figuratively) retract one’s opinion (frequent in Plato)
ἀνατείνω	verb	to stretch up, hold up, lift up | to stretch forth | to lift up, exalt | to stretch out, extend
ἀνατινάσσω	verb	to shake up and down, brandish | to shake about
ἀνατολή	noun	rising above the horizon (of any heavenly body, especially the sun) | the direction of sunrise, the East | (astrology) the ascendant, the point where the eastern horizon intersects the zodiac | (astrology) the phase of the new moon when 15 degrees away from the sun | growing, growth
ἀνατομή	noun	a cutting up, especially of an animal or person, mutilation, dissection
ἀνατρέπω	verb	to turn up, turn over, overturn, upset | to overthrow, subvert | to upset in argument, refute | to dishearten | to stir up, awaken
ἀνατρέχω	verb	to run back, return (of property) to revert | to run back, return (in wrtiting) to recur to a point | to run back, return (with accusative) to retrace, traverse, undo, make amends for | to run back, return (in logic) to run back to, return to the source | to run back, return to have recourse to | to jump up and run (of things) to spread over | to jump up and run (of plants, cities and people) to shoot up | to jump up and run (figurative) to soar aloft
ἀνατροπή	noun	capsizing
ἀνατροφή	noun	education, rearing, nurture
ἀναφέρω	verb	to bring, bear, carry upwards | to bring, bear, carry back | to report | to restore
ἀναφής	adj	impalpable, intangible | (of wine) tasteless, insipid
ἀναφορά	noun	reference of a thing to a standard
ἀναχάζομαι	verb	(chiefly passive voice) to draw back, withdraw, fall back, retreat | (rare, active voice) to force back
ἀναχρίω	verb	to anoint, smear, or apply a substance again or thoroughly (medicine) to apply topically as a treatment | (later) to coat over, plaster, seal
ἀναχρονίζομαι	verb	(intransitive) to be an anachronism
ἀναχρονισμός	noun	an anachronism an exchange of quantity of two syllables
ἀναχωρέω	verb	to go back | to withdraw, retire | to retreat
ἀναχωρητής	noun	one who has retired from the world, anchorite
ἀναχώρημα	noun	a retreat
ἀναχώρησις	noun	retiring, retreat
ἀναψύχω	verb	to cool, refresh, revive by fresh air
ἀνδράποδον	noun	slave, especially one made in war, captive
ἀνδράχνη	noun	common purslane (Portulaca oleracea) | wild strawberry (Fragaria vesca)
ἀνδρίς	noun	(hapax legomenon, Koine) woman
ἀνδραποδίζεσθε	verb	second-person plural present mediopassive indicative/imperative of ἀνδραποδίζω (andrapodízō)
ἀνδραποδίζω	verb	to enslave
ἀνδραποδιστής	noun	slave dealer, one who enslaves men and sells them as slaves, kidnapper
ἀνδρεία	noun	(uncountable) courage, bravery, fortitude (of men or women) | (countable) A brave deed
ἀνδρείως	adv	bravely
ἀνδρειφόντης	noun	(Epic) man-slayer (epithet of Enyalius)
ἀνδρεῖος	adj	Of or pertaining to a man | manly, masculine, strong | brave, courageous | stubborn
ἀνδρεῖος	noun	One who is courageous
ἀνδριάς	noun	image of a man, statue, puppet
ἀνδριαντοθήκη	noun	(architecture) niche for a statue
ἀνδροφάγος	adj	(of the cyclops) eating men
ἀνδροφόνος	adj	man-slaying | homicidal | deadly
ἀνδρόγυνος	adj	common to men and women
ἀνδρόγυνος	noun	hermaphrodite | a man who is womanish; effeminate | pathic; bottom
ἀνδρόμεος	adj	(Epic) human
ἀνδρόσαιμον	noun	St. John's wort (Hypericum perforatum)
ἀνδρόσακες	noun	sea-navel (Acetabularia acetabulum)
ἀνδρόω	verb	(active voice) rear to manhood, make a man | (passive voice) become a man, reach manhood
ἀνδρών	noun	andron (men's apartment in a house or banqueting-hall) | (Koine) hallway between two rooms or patios in a house
ἀνείμων	adj	(Epic) without clothes; naked; nude
ἀνείρομαι	verb	to inquire, ask
ἀνεγείρω	verb	wake up, rouse
ἀνειμένος	verb	(of animals dedicated to the gods) let go free, released from labour | remiss, slack, unconstrained
ἀνεκλητέω	verb	(Rhodian)
ἀνεκτός	adj	bearable, sufferable, tolerable
ἀνεμώλιος	adj	(Epic) windy (empty and lacking substance), good for nothing, in vain
ἀνεμώνη	noun	poppy anemone (Anemone coronaria) | (ἀνεμώνη ὀρεία, mountain anemone) Greek anemone (Anemone blanda)
ἀνεξέλεγκτος	adj	unquestioned, irrefutable | irreproachable
ἀνεπίφθονος	adj	without reproach, envy or jealousy
ἀνεπικλήτως	adv	unimpeachably, blamelessly, impeccably | without preferring any charge
ἀνερείπομαι	verb	(Epic) to snatch up and carry off
ἀνεψιός	noun	(male) first cousin, cousin
ἀνεύρυσμα	noun	(pathology) aneurysm
ἀνηκουστέω	verb	to disobey [with genitive or dative]
ἀνημμένος	verb	perfect middle/passive participle of ἀνάπτω (anáptō)
ἀνθέω	verb	to flower, blossom
ἀνθήλη	noun	(botany) silky flower-tufts of the reed
ἀνθήλιον	noun	packsaddle, bat, a saddle designed to secure and carry goods on the back of an animal
ἀνθίας	noun	marine goldfish (Anthias anthias)
ἀνθίζω	verb	to strew or deck with flowers | to dye with bright color (esp. with flowers)
ἀνθίστημι	verb	to stand against | to oppose
ἀνθεκτέος	adj	verbal of necessity of ἀντέχω (antékhō): who must cleave to
ἀνθεμίς	noun	flower
ἀνθεμόεις	adj	flowery | bright, burnished, or wrought with flowers, flowered
ἀνθηδών	noun	oriental hawthorn (Crataegus orientalis) | bee (literally "the flowery one")
ἀνθηρός	adj	flowery; blooming | (figuratively) fresh; young | bright-colored; brilliant | brilliant; splendid | (of style) flowery; florid
ἀνθιππασία	noun	(historical) A traditional cavalry display in Ancient Athens; in particular, a series of contests occurring later in the democratic period as a contest between tribal cavalry units at Athenian festivals such as the Olympieia and Panathenaea.
ἀνθολογία	noun	The act of gathering flowers; flowerpicking. | (figuratively) a collection of poems; anthology
ἀνθράκινος	adj	made of carbuncle
ἀνθρήνη	noun	hornet, wasp
ἀνθρακιά	noun	a pile of charcoal | a charcoal fire
ἀνθρακόεις	adj	charcoal-filled | coal-filled
ἀνθρακῖτις	noun	a type of garnet | anthracite
ἀνθρηδών	noun	hornet (Vespa crabro)
ἀνθρωποειδής	adj	looking like a human, in human form, humanoid
ἀνθρωποποιΐα	noun	making of man or men
ἀνθρωποφάγος	adj	anthropophagous, man-eating, cannibalistic
ἀνθρωπόλογος	adj	speaking of man
ἀνθρώπειος	adj	human
ἀνθρώπινος	adj	human
ἀνθυλλίς	noun	a plant of species Cressa cretica of alkaliweeds
ἀνθυπατεία	noun	proconsulate
ἀνθυπατικός	adj	of or pertaining to a proconsul, proconsular
ἀνθόλοψ	noun	antelope (a fierce legendary creature said to live on the banks of the Euphrates, having long serrated horns and being hard to catch)
ἀνθύπατος	noun	proconsul | (as an adjective) proconsular
ἀννίς	noun	(hapax legomenon) maternal or paternal grandmother.
ἀνοίγνυμι	verb	synonym of ἀνοίγω (anoígō, “to open”)
ἀνοίγω	verb	to open (figuratively) to lay open, unfold, disclose | to open (nautical) to get into the open sea, get clear of land | (passive voice) to be open, stand open, lie open
ἀνοικίζω	verb	to remove (especially to a higher location) | to move (one’s residence) inland or to higher ground | to migrate
ἀνοικοδομέω	verb	to build up | to wall up | to build again, rebuild
ἀνοικτός	adj	opened, open, not closed
ἀνοκωχή	noun	a stay, cessation | ceasefire, truce | hindrance
ἀνομία	noun	lawlessness | iniquity
ἀνομοίως	adv	dissimilarly
ἀνορεξία	noun	lack of appetite | lack of desire
ἀνορούω	verb	to start up, leap up
ἀνοχή	noun	holding back, cessation of hostilities; armistice, truce forebearance, long-suffering, tolerance
ἀντάω	verb	to come opposite to, meet face to face, meet with [with dative]
ἀντέχω	verb	to hold out, keep | to withstand, endure, persevere | to prevail, be prevalent | (middle voice) to cling to, adhere to, keep close to | (middle voice) to support, care for | (middle voice) to resist
ἀντί	prep	over against, opposite | at the same time as | in exchange for, in place of | at the price of, in return for | for the sake of, for | instead of | compared with | equivalent to, no better or worse than
ἀντίβιος	adj	opposing face to face, hostile
ἀντίδοτος	adj	given in lieu of | given as a remedy for | (nominalized, f) antidote
ἀντίδωρον	noun	return-gift; a present donated or offered in return or in exchange; compensation, remuneration, recompense, reciprocation | (Christianity, Eastern Orthodoxy, Eastern Catholicism) antidoron; morsel of blessed bread from the remains of the Eucharist offering distributed to members of the congregation in churches that use the Byzantine Rite liturgy
ἀντίθεος	adj	godlike
ἀντίθεσις	noun	opposition, resistance | contradiction | (rhetoric) antithesis | (grammar) change or transposition of a letter
ἀντίθετον	noun	(rhetoric) antithet
ἀντίθετος	adj	opposing, contrasting
ἀντίκειμαι	verb	to be set over against, correspond with (of places) to be opposite to | to be set over against, correspond with (of things) to be opposite or opposed | to be opposed, in various ways | to resist, be adverse | to be hurtful, damaging
ἀντίλογος	adj	contradictory, reverse
ἀντίον	adv	against (me, him, her, etc.)
ἀντίον	noun	loom or a part of it
ἀντίον	prep	against | before, in front of | in the presence of | facing
ἀντίος	adj	opposite, facing | going to meet (with genitive or dative of the person to be met)
ἀντίπαις	adj	like a child | no longer a child
ἀντίπαις	noun	a mere boy
ἀντίπαλον δέος	phrase	mutual fear between rivals, enemies caused by the balance of their power
ἀντίπαλος	adj	antagonistic, rival, competitive | contrary, opposite, hostile | balanced, equal, proportioned
ἀντίπατρος	noun	(religion) a title given to initiates of the mysteries of Mithras
ἀντίπους	adj	with the feet opposite | (nominalized, masculine plural) the antipodes
ἀντίπτωσις	noun	opposition, resistance | (grammar) interchange or substitution of cases, antiptosis
ἀντίρρινον	noun	calf's snout (Antirrhinum orontium, syn. Misopates orontium)
ἀντίσιγμα	noun	sigma reversed (Ͻ, ͻ (Ͻ, ͻ)), as a critical mark | symbol for [ps]
ἀντίταξις	noun	a setting in array against | (generally) opposition
ἀντίτασις	noun	stretching the contrary way, e.g. in the setting of a dislocated limb | opposition, resistance
ἀντίφωνος	adj	sounding in answer, concordant, as in the octave (with genitive) responsive to | (neuter substantive) a concord in the octave (ecclesiastical) antiphon, anthem
ἀντίχειρ	noun	thumb (as being opposite to the other fingers)
ἀντίχριστος	noun	(Koine, Christianity) antichrist
ἀνταίρω	verb	(transitive) to raise (one's hands etc.) against | (intransitive) to rise up against
ἀνταγωνίζομαι	verb	(deponent) to struggle against, prove a match for [with dative] | to struggle or dispute with [with dative] | to strive [with πρός (prós, + accusative) ‘against’]
ἀνταγωνιστής	noun	rival, opponent, competitor
ἀνταλλάσσω	verb	to exchange (one thing with another), interchange | to give in exchange
ἀνταλλαγή	noun	exchanging, exchange, barter
ἀντανάγω	verb	to lead up against | to bring up or out instead
ἀντανάκλασις	noun	reflection | bending back
ἀνταναλύω	verb	to counteract
ἀνταποδίδωμι	verb	(transitive) to give back, requite, repay, give (figuratively, transitive) | (transitive) to correspond to; to cause to correspond with to make convertible | (transitive) to correspond to; to cause to correspond with (grammar) | (transitive) to correspond to; to cause to correspond with (intransitive) to correspond with | (transitive) to correspond to; to cause to correspond with (intransitive) to give back insults, esp. tu quoque | (transitive) to give in turn | (transitive) to give back a sound
ἀνταποκαταστατικός	adj	(Koine, astrology, astronomy) opposite to the position known as ἀποκατάστασις (apokatástasis, “apocatastasis”)
ἀνταποκρίνομαι	verb	to answer again, respond | to argue against | to correspond to
ἀνταπόδοσις	noun	recompense, reward, repayment | retribution, revenge | reaction | turning back, change of direction | (rhetoric) parallelism
ἀνταπόκρισις	noun	correspondence, relation
ἀνταρκτικός	adj	antarctic (opposite to the Arctic)
ἀντεγείρω	verb	raise or build instead
ἀντελπίζω	verb	to hope instead or in turn
ἀντεπιβουλεύω	verb	to form counter-designs
ἀντεπιπλέω	verb	to sail against in turn
ἀντευεργετικός	adj	prone to return kindnesses
ἀντι-	prefix	anti-, against | like, reminiscent of
ἀντιάζω	verb	to meet face to face, encounter | to entreat, supplicate
ἀντιάω	verb	to come to meet (with genitive) to go in quest of | to come to meet (typically of deities) to meet an offering (in past tenses) to have received, obtained | (with dative) to meet | (rare, with genitive) to compare oneself to; to match or measure oneself against (rare) to come to aid | (later Epic) to come to as a suppliant
ἀντιβολέω	verb	to meet by chance (especially in battle) | to be present at | to partake of, have one's share of | to fall to one's lot | to entreat, supplicate
ἀντιδίδωμι	verb	to give in return, repay | to give for or instead of | to offer to change fortunes with
ἀντιδιάταξις	noun	comparison of arguments (for and against a thesis)
ἀντιθετικός	adj	setting in opposition, contrasting; antithetical
ἀντικαθίζομαι	verb	to sit or lie over against
ἀντικαθίστημι	verb	to substitute, replace | to set against, oppose | to bring back again, restore | (passive voice), to be put in another's place, to reign instead of | to stand against, resist [with dative]
ἀντικνήμιον	noun	shin
ἀντικρύ	adv	face to face, over against | straight on | outright
ἀντιλέγω	verb	to gainsay, contradict | to answer, reply (in opposition) | to speak against, argue against | to allege (in response) | to deny, dispute, counterclaim
ἀντιλημματίζω	verb	(banking) to deduct from an account
ἀντιλογία	noun	contradiction, gainsaying | controversy, disputation, strife | (in the plural) opposing arguments, answering speeches
ἀντιλογητικός	adj	given to contradiction, disputatious
ἀντιμετάταξις	noun	interchange of gender
ἀντιμεταβολή	noun	(rhetoric) antimetabole
ἀντινομία	noun	(law) ambiguity in the law
ἀντιπάθεια	noun	suffering instead | opposition, contrast | counteraction, antipathy | contrary affection
ἀντιπάσχω	verb	to experience in turn or in return, experience the same | to have contrary qualities or effects
ἀντιπαθής	adj	in return for suffering | felt mutually | (nominalized, neuter) remedy for suffering
ἀντιπαράταξις	noun	hostile demonstration; stubborn determination to resist
ἀντιπαρασκευάζω	verb	to prepare oneself in turn | to arm on both sides
ἀντιπαρατάσσομαι	verb	to stand in hostile array [with dative ‘against’]
ἀντιπεπονθότως	adv	in return, inversely, or reciprocally
ἀντιποιέω	verb	to do in return, retaliate | (middle voice) to exert oneself about, seek after, lay claim to | (middle voice) to contend with
ἀντιπολεμέω	verb	to wage war against
ἀντιπρακτικός	adj	acting against, counteracting
ἀντιστοιχία	noun	the state or condition of standing opposite in pairs | (of letters, grammar) correspondence of the voiceless unaspirated (π, τ, κ), voiceless aspirated (φ, θ, χ), and voiced (β, δ, γ) stops
ἀντιστρατοπεδεύω	verb	(military) to encamp over against
ἀντιστροφή	noun	turning about | (drama) antistrophe
ἀντιτείχισμα	noun	counter-fortification
ἀντλέω	verb	(ambitransitive) to bail out bilgewater | (ambitransitive) to draw water | to search, seek | (transitive) to drain, exhaust
ἀντλία	noun	A baling out of bilge-water | bilge-water, filth | reservoir | The hold of a ship | Food eaten by men at sea
ἀντλητήρ	noun	one who draws water | bailer, used for removing water which has entered a boat | ladle
ἀντονομασία	noun	(rhetoric) use or substitution of an epithet or patronymic for a proper noun, antonomasia | nomination of a successor by retiring official | (grammar) pronoun, or the use of a pronoun | contrary denomination
ἀντωνυμία	noun	(grammar) pronoun
ἀνυπόδητος	adj	Without shoes, barefoot, unshod | Having the feet unprotected
ἀνωμαλία	noun	inequality, irregularity, unevenness, unsmoothness
ἀνωφελής	adj	unprofitable, useless | hurtful, prejudicial
ἀνόητος	adj	not thought on | not understanding, foolish
ἀνόμοιος	adj	dissimilar, unlike
ἀνόσιος	adj	unholy, profane
ἀνύω	verb	to cause; to effect; to accomplish | to consume | to pass over
ἀνώδυνος	adj	free from pain, free from distress | causing no pain, harmless | allaying pain, easing pain, relieving pain, assuaging pain
ἀνώμαλος	adj	(literally and figuratively) uneven, irregular | (of conditions and fortune) precarious | (of persons) inconsistent, capricious | (grammar) of words which deviate from a general rule, anomalous
ἀνώνυμος	adj	anonymous, nameless
ἀνὰ μέρος	adv	in turn
ἀξία	noun	worth, value
ἀξίνη	noun	axe-head
ἀξίωμα	noun	that which is thought fit, a requisite | that which is thought worthy | a self-evident principle, axiom
ἀξίως	adv	worthily
ἀξίωσις	noun	(the act of) thinking worthy or fit | reputation | demand, claim | opinion, principle, maxim | (linguistics) meaning (of words)
ἀξιοπρέπεια	noun	(Byzantine) propriety, dignity
ἀξιοπρεπής	adj	proper, becoming, dignified
ἀξιοῦτε	verb	second-person plural present active indicative/imperative of ᾰ̓ξῐόω (ăxĭóō)
ἀξιωματικός	adj	Dignified, honorable; high in rank. (literary criticism) Dignified. | Dignified, honorable; high in rank. Concerned with dignities. | Supplicatory. | Employing logical propositions; self-evident.
ἀξιόλογος	adj	worthy of mention: remarkable, noteworthy, of note, important
ἀξιόπιστος	adj	trustworthy
ἀξιόχρεως	adj	noteworthy, considerable | serviceable, sufficient | trustworthy, bona fide, reliable | able to, competent to | worthy of, deserving of
ἀξιόω	verb	to think or deem worthy (transitive) to deem or think [with accusative ‘someone’] worthy, either in a good or bad sense [with genitive ‘of something’] (transitive) to esteem, honor | to think or deem worthy (transitive) to deem or think [with accusative ‘someone’] worthy, either in a good or bad sense [with genitive ‘of something’] (intransitive) to value at a certain price | to think or deem worthy (transitive) to think [with accusative ‘someone’] worthy [with infinitive ‘to do or be’] (transitive) to think fit, expect, require, demand that; compare Latin postulō | to think or deem worthy (intransitive) to think one has a right [with infinitive ‘to do’] (intransitive) to think fit, expect, consent, resolve, deign, dare [with infinitive ‘to do’] | to think or deem worthy (intransitive) to think one has a right [with infinitive ‘to do’] (transitive) to think, deem, hold | to think or deem worthy (intransitive, transitive) to make a claim to hold an opinion | to think or deem worthy (intransitive, transitive) to make a claim (philosophy) to lay down, hold, maintain
ἀοιδή	noun	the art of singing | song, ode | theme of a song | legend; tale; story | (figurative) spell; incantation
ἀοιδός	adj	musical
ἀοιδός	noun	singer, minstrel, bard | enchanter
ἀολλέες	adj	all together
ἀορτή	noun	(in the plural) the lower extremities of the windpipe (in the singular) aorta, the artery which proceeds from the left ventricle (in the plural) the arteries | a knapsack that hangs from the shoulders
ἀορτήρ	noun	strap, swordbelt | knapsack strap
ἀορτηθείς	adj	hung up, suspended
ἀοσσέω	verb	to help
ἀπάγχω	verb	to strangle, throttle | (passive voice) to hang oneself, to be hanged, be ready to choke
