lemma	pos	def
Αὐτοφραδάτης	name	a male given name, Autophradates, from Old Persian satrap of Lydia under Artaxerxes II | a male given name, Autophradates, from Old Persian navy commander for Darius III | a male given name, Autophradates, from Old Persian satrap of the Amardi and Tapuri
Αὐτόλυκος	name	(Greek mythology) Autolycus, a mythical robber, son of Hermes
Αὐτόνομος	name	a male given name, Autonomus
Αὔγη	name	a female given name, equivalent to English Auge (Greek mythology) Auge, the daughter of king Aleus and the virgin priestess of Athena Alea | a female given name, equivalent to English Auge (Greek mythology) Auge, one of the Horae.
Αὔγουστος	name	Augustus, the Roman emperor | the month of August
Αὔξουμον	name	Auximum; Osimo, Marche, Italy
Αὔσονες	name	Ausones (an Italic tribe known also as Aurunci)
Αὖλος	name	Aulus
ΒΛΕΙΑ	name	nomen sacrum form of βασιλεία (basileía)
ΒΛΕΥΣ	name	nomen sacrum form of βασιλεύς (basileús)
Βάαλ	name	Baal, a Canaanite deity (referred to biblically as a symbol of idolatry)
Βάδρης	name	a male given name, Badres, from Old Persian
Βάκις	name	Bakis
Βάκτρα	name	Bactra, Balkh (a town in Afghanistan)
Βάκτριος	noun	an inhabitant of Bactria; a Bactrian
Βάκχειος	adj	Bacchic, of or belonging to Bacchus and his rites | (substantive) (in masculine) Bacchus | (substantive) (in feminine) a Bacchic revelry | (substantive) (in masculine) (elliptically for Βάχκειος πούς (poús)) the bacchius, a metrical foot of three syllables (¯ ¯ ˘)
Βάκχος	name	Bacchus
Βάλβουρα	name	Balbura, Lycia, Turkey
Βάλλα	name	Balla, Pieria, Greece
Βάραγγοι	name	(historical, collective) the Varangians (a medieval tribe or ethnic grouping of Norse origin)
Βάραγγος	name	(historical) Varangian; an ethnic Norseman with ancestral roots in medieval Scandinavia and other areas of Norse settlement during the Viking Age | (historical) Varangian; a soldier of Nordic or Anglo-Saxon origin, most distinguished for forming the elite Varangian Guard army unit in the Byzantine Empire, serving as the personal bodyguard of the Byzantine Roman Emperor in Constantinople
Βάρδυλις	name	a male given name from Illyrian: Bardylis, a chief of the Illyrians defeated by Philip of Macedonia
Βάρκη	name	Marj (a city in Libya)
Βάρρων	name	Varro
Βάτναι	name	Batnae; Suruç, Turkey
Βάττος	name	Battus
Βέβρυξ	name	(Greek mythology, Roman mythology) Bebryx (a king of the Bebryces, father of Pyrene)
Βέβρυξ	noun	any member of the Bebryces
Βέλβινα	name	An island situated on the south-east of Cape Sunium | A city of Laconia
Βέλγης	noun	Any individual among the Belgae
Βέμβινα	name	Bembina, Argolis, Greece
Βέργα	name	Berga, Macedonia, Greece
Βέροια	name	Beroea (an ancient city in Aleppo, Syria) | Beroea (ancient city of Veria, Greece) | Beroea (city of ancient Thrace near modern Stara Zagora)
Βέρρης	name	Verres
Βήσσος	name	Bessus, satrap of Bactria
Βήφυρος	name	Bephyrus or Baphyras, a river of Pieria flowing through the city of Dium
Βίας	name	Bias
Βίβλος	name	Marcus Calpurnius Bibulus | Any individual named Bibulus (male) | toponym (name of rivers, places)
Βίεννος	name	Biennus, Crete, Greece
Βίκτωρ	name	Victor
Βίστων	noun	Any individual among the Bistones of Bithynia; a Biston
Βίων	name	a male given name, equivalent to English Bion
